篠	2-6-11
偲	1-2-9
柴	2-6-4
芝	2-3-3
屡	3-3-9
蕊	2-3-12
縞	1-6-10
舎	2-2-6
写	2-2-3
射	1-7-3
捨	1-3-8
赦	1-7-4
斜	1-7-4
煮	2-8-4
社	1-4-3
紗	1-6-4
者	3-4-4
謝	1-7-10
車	4-7-3
遮	3-3-11
蛇	1-6-5
邪	1-5-3
借	1-2-8
勺	3-2-1
尺	4-4-1
杓	1-4-3
灼	1-4-3
爵	2-4-13
酌	1-7-3
釈	1-7-4
錫	1-8-8
若	2-3-5
寂	2-3-8
弱	1-5-5
惹	2-3-9
主	2-1-4
取	1-6-2
守	2-3-3
手	4-4-3
朱	4-6-3
殊	1-4-6
狩	1-3-6
珠	1-4-6
種	1-5-9
腫	1-4-9
趣	3-7-8
酒	1-3-7
首	2-3-6
儒	1-2-14
受	2-4-4
呪	1-3-5
寿	4-7-4
授	1-3-8
樹	1-4-12
綬	1-6-8
需	2-8-6
囚	3-3-2
収	1-3-2
周	3-2-6
宗	2-3-5
就	1-8-4
州	1-2-4
修	1-2-8
愁	2-9-4
拾	1-3-6
洲	1-3-6
秀	2-5-2
秋	1-5-4
終	1-6-5
繍	1-6-11
習	2-6-5
臭	2-6-3
舟	4-6-4
蒐	2-3-10
衆	2-6-6
襲	2-16-6
讐	2-16-7
蹴	1-7-12
輯	1-7-9
週	3-3-8
酋	2-3-6
酬	1-7-6
集	2-8-4
醜	1-7-10
什	1-2-2
住	1-2-5
充	2-2-4
十	4-2-3
従	1-3-7
戎	3-4-2
柔	2-2-7
汁	1-3-2
渋	1-3-8
獣	1-12-4
縦	1-6-10
重	4-9-2
銃	1-8-6
叔	1-6-2
夙	3-2-4
宿	2-3-8
淑	1-3-8
祝	1-4-5
縮	1-6-11
粛	4-11-3
塾	2-11-3
熟	2-11-4
出	4-5-2
術	1-3-8
述	3-3-5
俊	1-2-7
峻	1-3-7
春	2-5-4
瞬	1-5-13
竣	1-5-7
舜	2-4-9
駿	1-10-7
准	1-2-8
循	1-3-9
旬	3-2-4
楯	1-4-9
殉	1-4-6
淳	1-3-8
準	2-11-2
潤	1-3-12
盾	3-2-7
純	1-6-4
巡	3-3-3
遵	3-3-12
醇	1-7-8
順	1-1-11
処	3-3-2
初	1-5-2
所	1-4-4
暑	2-4-8
曙	1-4-13
渚	1-3-8
庶	3-3-8
緒	1-6-8
署	2-5-8
書	2-6-4
薯	2-3-13
藷	2-3-15
諸	1-7-8
助	1-5-2
叙	1-7-2
女	4-3-4
序	3-3-4
徐	1-3-7
恕	2-6-4
鋤	1-8-7
除	1-3-7
傷	1-2-11
償	1-2-15
勝	1-4-8
匠	3-2-4
升	4-4-3
召	2-2-3
哨	1-3-7
商	2-2-9
唱	1-3-8
嘗	2-5-9
奨	2-10-3
妾	2-5-3
娼	1-3-8
宵	2-3-7
将	1-3-7
小	1-1-2
少	4-4-4
尚	2-3-5
庄	3-3-3
床	3-3-4
廠	3-3-12
彰	1-11-3
承	1-1-7
抄	1-3-4
招	1-3-5
掌	2-5-7
捷	1-3-8
昇	2-4-4
昌	2-4-4
昭	1-4-5
晶	2-4-8
松	1-4-4
梢	1-4-7
樟	1-4-11
樵	1-4-12
沼	1-3-5
消	1-3-7
渉	1-3-8
湘	1-3-9
焼	1-4-8
焦	2-8-4
照	2-9-4
